Population;Fish ID;Replicat;Fish Weight (g);Fish Standard length (cm);Time for shelter test (h);Temperature for shelter test (°C);Time for new env test (h);Temperature for new env test (°C);Cumulative duration in shelter (s);Total distance moved (cm)
Twin Cayes;PG4-52;2;0,378;2,794;12:00;30,6;16:47;30,8;760,021;854,265
Twin Cayes;PG4-53;2;0,658;3,273;09:20;29;16:35;29,5;116,877;1602,94
Twin Cayes;PG4-56;2;0,369;2,744;10:05;29,6;17:05;30,7;516,947;1229,14
Twin Cayes;PG4-60;2;0,364;2,747;09:20;29;16:53;29,9;1044,45;180,363
Twin Cayes;PG4-62;2;1,115;3,929;10:05;29,6;17:05;30,7;385,59;2336,95
Twin Cayes;PG4-64;2;0,458;2,836;08:25;28,9;16:10;30,6;929,417;323,102
Twin Cayes;PG4-68;2;0,441;2,913;11:33;29,1;18:00;29,9;280,8;1397,11
Twin Cayes;PG4-76;2;0,405;2,807;08:25;28,9;16:10;30,3;375,191;568,21
Twin Cayes;PG4-101;2;0,366;2,715;10:51;29,1;17:33;29,9;184,115;591,895
Twin Cayes;PG4-113;2;0,471;2,946;11:33;29,1;18:00;29,9;860,418;588,725
Twin Cayes;PG5-2;2;0,72;3,513;09:50;29,5;15:20;31;86,5978;1679,85
Twin Cayes;PG5-3;2;0,194;2,258;09:00;29,1;14:50;31,1;601,705;646,053
Twin Cayes;PG5-4;2;0,333;2,672;07:33;28,8;13:50;31;555,106;1710,13
Twin Cayes;PG5-6;2;1,162;4,116;08:18;29;14:15;30,5;408,19;2153,15
Twin Cayes;PG5-14;2;0,605;3,29;06:41;28,8;13:20;29,8;154,116;1676,64
Twin Cayes;PG5-16;2;0,272;2,525;06:41;28,8;13:20;30,3;136,917;1317,68
Twin Cayes;PG5-21;2;0,166;2,188;08:18;29;14:15;31,1;925,017;1068,57
Twin Cayes;PG5-23;2;0,329;2,564;07:33;28,5;13:50;31;212,155;2205,7
Twin Cayes;PG5-26;2;0,156;2,06;09:50;29,5;15:20;30,9;265,273;1296,45
Twin Cayes;PG5-27;2;0,396;2,792;09:00;29,1;14:50;30,9;186,515;2211,45
Twin Cayes;PG5-28;2;0,233;2,476;10:30;29,8;15:45;31,3;99,7575;2058,62
Twin Cayes;PG5-31;2;0,377;2,86;11:15;30,1;16:15;31,2;246,794;2722,09
